Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00237670668945162,0.00109688224125671,0.762061321867194,0,0,0,83.9918863501521,4.58131435742131,-3.09418403263941E-10,0.000336204370522542,3.15330051931996,-7.78528789321876E-10,3.71265295574349,0,0,0,0,0,0,package://fullbot/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fullbot/meshes/base_link.STL,,mainstruct-1,main_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link0_up,0.00152351965279276,-9.20975643461316E-05,0.0721709681332363,0,0,0,1.15012347681565,0.00305297585598164,7.49722844279344E-06,7.88115667134872E-05,0.00315399366896922,-4.77295655185554E-06,0.00149595457455531,0,0,0,0,0,0,package://fullbot/meshes/link0_up.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link0_up.STL,,baselink-1,base_up_coor,,joint0_up,fixed,0,0,1.2629,0,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
link1_up,-0.00635116531185579,0.000207381647010473,0.0933560245185359,0,0,0,1.3256364074878,0.00337516344067471,2.91047495398252E-06,0.000390263321422472,0.0039707875530841,-7.74618991821581E-06,0.00211705553045749,0,0,0,0,0,0,package://fullbot/meshes/link1_up.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link1_up.STL,,link1-1,joint1_up_coor,j1up,joint1_up,revolute,0,0,0.1448,0,0,0,link0_up,0,0,-1,20,1.5,-6.28,6.28,,,,,,,,
link2_up,-0.164334922175455,-0.0131391380189071,-0.0386527377791693,0,0,0,2.69348731441247,0.00426310623774934,-0.00277535500543395,-0.000798338261530704,0.0150045970572789,0.000100430735697421,0.0156052703291197,0,0,0,0,0,0,package://fullbot/meshes/link2_up.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link2_up.STL,,link2-1,joint2_up_coor,j2up,joint2_up,revolute,-0.0652950431339773,0.000349015389753116,0.122000005321613,3.14159265358979,1.5707963267949,0,link1_up,0,0,-1,20,1.5,-2.05,2.09,,,,,,,,
link3_up,0.0790017026576337,-0.0622013013556818,-0.0189186889395293,0,0,0,1.30253510106472,0.00393747848651755,0.00136510222638933,0.00159608028913008,0.00525344165407256,-0.000920518752882782,0.00455361194720345,0,0,0,0,0,0,package://fullbot/meshes/link3_up.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link3_up.STL,,link3-1,joint3_up_coor,j3up,joint3_up,revolute,-0.285902778509353,-0.053312933228828,-0.00830262337133821,0,0,0,link2_up,0,0,-1,20,1.5,-3.92,0.19,,,,,,,,
link4_up,0.0321807687354634,-0.00025917554824062,0.107627187331176,0,0,0,0.789560351493029,0.00404949168648296,-3.36598707087042E-06,-0.00099079876639351,0.00449572325717299,-2.29651540749869E-06,0.00105175547833875,0,0,0,0,0,0,package://fullbot/meshes/link4_up.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link4_up.STL,,link4-1,joint4_up_coor,j4up,joint4_up,revolute,0.159174227494142,-0.0777509869090924,-0.0574946534887292,0,1.5707963267949,0,link3_up,0,0,-1,20,1.5,-6.28,6.28,,,,,,,,
link5_up,0.0467464429721703,-0.00940639676845545,-0.0231013060407902,0,0,0,0.723051769580643,0.000793027726972335,0.000197964210793357,-0.000254464226983087,0.00148592083068407,5.97819367646225E-05,0.00164704279225573,0,0,0,0,0,0,package://fullbot/meshes/link5_up.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link5_up.STL,,link5-1,joint5_up_coor,j5up,joint5_up,revolute,0.0147482654558819,-0.000436124905815183,0.182995732412003,-1.5707963267949,0,-1.5707963267949,link4_up,0,0,1,20,1.5,-1.69,3.14,,,,,,,,
link6_up,-0.00127764071195329,7.89251114463596E-09,0.0348924628163474,0,0,0,0.240703496519078,0.000111819933042724,1.06441768267333E-12,3.17569406177313E-07,0.000124185578330655,-2.44652552338761E-11,0.000199479046718238,0,0,0,0,0,0,package://fullbot/meshes/link6_up.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fullbot/meshes/link6_up.STL,,link6endef-1,joint6_up_coor,j6up,joint6_up,revolute,0.0758728691169504,-0.0585237361444011,-0.0143389355601516,1.5707963267949,1.5707963267949,0,link5_up,0,0,-1,20,1.5,-6.28,6.28,,,,,,,,
link0_right,0.00152352214909268,-9.20950558262884E-05,0.072170983394065,0,0,0,1.15012354839417,0.00305297729491234,7.49727624531085E-06,7.88116536111991E-05,0.00315399502526908,-4.77312392810153E-06,0.00149595458411752,0,0,0,0,0,0,package://fullbot/meshes/link0_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link0_right.STL,,baselink-2,base_right_coor,,joint0_right,fixed,0,0.2625,0.80825,3.1416,-1.0472,1.5708,base_link,0,0,0,,,,,,,,,,,,
link1_right,-0.00635141038711484,0.000207534921337451,0.0933560223181532,0,0,0,1.32562534805268,0.0033751569034854,2.90184699872976E-06,0.000390274835452127,0.00397076269428928,-7.74687080996629E-06,0.00211702052844463,0,0,0,0,0,0,package://fullbot/meshes/link1_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link1_right.STL,,link1-2,joint1_right_coor,j1right,joint1_right,revolute,0,0,0.1448,0,0,0,link0_right,0,0,-1,20,1.5,-6.28,6.28,,,,,,,,
link2_right,-0.164337985161048,-0.0131393685703512,-0.0386544729786388,0,0,0,2.69362838096021,0.00426335070454304,-0.00277555236003664,-0.000798532633310514,0.0150051670245593,0.000100373269271408,0.0156058685529561,0,0,0,0,0,0,package://fullbot/meshes/link2_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link2_right.STL,,link2-2,joint2_right_coor,j2right,joint2_right,revolute,-0.0652950431339773,0.000349015389753198,0.122000005321614,3.14159263251637,1.5707963267949,0,link1_right,0,0,-1,20,1.5,-2.05,2.09,,,,,,,,
link3_right,0.0790018467474999,-0.0622013835327156,-0.0189188081086681,0,0,0,1.30253291173427,0.00393746472517653,0.00136509457478538,0.00159605824936344,0.00525341640271265,-0.000920517395001331,0.00455360703799699,0,0,0,0,0,0,package://fullbot/meshes/link3_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link3_right.STL,,link3-2,joint3_right_coor,j3right,joint3_right,revolute,-0.285902778509353,-0.0533129332288277,-0.0083026233713378,0,0,0,link2_right,0,0,-1,20,1.5,-3.92,0.19,,,,,,,,
link4_right,0.0321808159995989,-0.000259192543237335,0.107627165980801,0,0,0,0.78956108124552,0.00404951021883878,-3.3674543336446E-06,-0.000990810460485379,0.00449575360734708,-2.29158571071361E-06,0.00105176344238809,0,0,0,0,0,0,package://fullbot/meshes/link4_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fullbot/meshes/link4_right.STL,,link4-2,joint4_right_coor,j4right,joint4_right,revolute,0.159174227494142,-0.0777509869090924,-0.0574946534887292,0,1.5707963267949,0,link3_right,0,0,-1,20,1.5,-6.28,6.28,,,,,,,,
