Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0013655,-0.000682,0.072171,0,0,0,1.1501,0.0030717,-3.9993E-05,-7.0639E-05,0.0031352,-3.5273E-05,0.001496,0,0,0,0,0,0,package://nova_description/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nova_description/meshes/base_link.STL,,RobotBase-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.00020743,-0.0063513,0.094409,0,0,0,1.3256,0.0039708,-2.9075E-06,7.7436E-06,0.0033752,0.00039026,0.002117,0,0,0,0,0,0,package://nova_description/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nova_description/meshes/link1.STL,,Joint1-1,Origin_joint1,Rot1,joint1,revolute,0,0,0.14375,0,0,3.1416,base_link,0,0,-1,0,0,0,0,,,,,,,,
link2,0.026642,0.013139,-0.16433,0,0,0,2.6935,0.015605,-0.00010043,-0.00079834,0.015005,0.0027754,0.0042631,0,0,0,0,0,0,package://nova_description/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nova_description/meshes/link2.STL,,Joint2-1,Origin_joint2,Rot2,joint2,revolute,-0.00034902,0,0.12305,3.1416,0,-1.5708,link1,-1,0,0,0,0,0,0,,,,,,,,
link3,0.062201,-0.079002,-0.038074,0,0,0,1.3025,0.0052534,0.0013651,-0.00092052,0.0039375,0.0015961,0.0045536,0,0,0,0,0,0,package://nova_description/meshes/link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nova_description/meshes/link3.STL,,Joint3-1,Origin_joint3,Rot3,joint3,revolute,0,0.053313,-0.2859,-1.5708,0,1.5708,link2,0,0,1,0,0,0,0,,,,,,,,
link4,0.032181,-0.10763,-0.00025916,0,0,0,0.78956,0.0040495,0.00099079,-3.3653E-06,0.0010518,2.2959E-06,0.0044957,0,0,0,0,0,0,package://nova_description/meshes/link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nova_description/meshes/link4.STL,,Joint4-1,Origin_joint4,Rot4,joint4,revolute,0.077751,-0.15917,0.00050223,3.1416,-1.5708,0,link3,0,1,0,0,0,0,0,,,,,,,,
link5,-0.046746,-0.008353,-0.0094064,0,0,0,0.72305,0.00079303,0.00025446,-0.00019796,0.001647,5.9782E-05,0.0014859,0,0,0,0,0,0,package://nova_description/meshes/link5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nova_description/meshes/link5.STL,,Joint5-2,Origin_joint5,Rot5,joint5,revolute,0,-0.183,-0.00043612,1.5708,-1.5708,0,link4,0,1,0,0,0,0,0,,,,,,,,
link6,-0.0003867,-3.9832E-11,0.020577,0,0,0,0.13574,5.7727E-05,-1.5582E-13,-3.205E-07,6.0882E-05,-3.7164E-14,9.2769E-05,0,0,0,0,0,0,package://nova_description/meshes/link6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://nova_description/meshes/link6.STL,,Joint6-1,Origin_joint6,Rot6,joint6,revolute,-0.075873,0.00040933,-0.058524,3.1416,0,1.5708,link5,0,0,-1,0,0,0,0,,,,,,,,
